Dutch|English
Sociale huur|Social rent
Woningbouwvereniging|Housing association where you can register if you are looking for a rental home
Woningcorporatie|Housing association where you can register if you are looking for a rental home
Wachtlijst|Waiting list
Urgentieverklaring|Declaration of urgency (in case you are waiting for a house in social rent)
Vrije sector|Rental houses that are not social rent
Huisbaas|Landlord
Makelaar|Realtor
Huurcontract|Rental contract
Huurder|Tenant
Servicekosten|Service costs; additional charges on top of rent for shared services (e.g. cleaning, maintenance)
Opzegtermijn|Notice period
Belastingdienst|Tax authority
Huurtoeslag|Rent allowance; money people with low income can get back from the tax authority
Hypotheek|Mortgage
Rente|Interest; the cost you pay for borrowing money (e.g. on a mortgage)
Belastingaangifte|Tax return
Hypotheekrenteaftrek|Interest deduction; deducting the interest you pay on your mortgage from your income when doing your tax return
Notaris|Notary; a legal professional who handles official documents such as property transfers
Verzekeringen|Insurances
Aansprakelijkheidsverzekering|Liability insurance
Inboedelverzekering|Home contents insurance
Energiebedrijf|Energy company
Meterstand|Meter reading (of gas, electricity, water)
Energierekening|Energy bill
Termijnbedrag|Monthly amount that needs to be paid for energy in your house
Jaarrekening|Annual bill for energy in your house
Duurzame energie|Sustainable energy
Nederlandse publieke omroep (NPO)|Dutch public broadcaster
Overheid|Government
Abonnement|Subscription
Storing|Technical issue (mostly concerning electricity)
Glasbak|Glass container
Papierbak|Paper container
Groene container|Container for vegetables, fruit and garden waste
Groente, fruit, tuin (GFT) container|Container for vegetables, fruit and garden waste
Plasticbak|Plastic container
Chemisch afval|Chemical waste
Klein chemisch afval|Waste disposal for all types of small chemical waste (batteries, paint etc.)
Belasting|Tax
Ontheffing|Exemption
Kennismakingsgesprek|Intake appointment; initial meeting after registering with a new GP
Telefonisch spreekuur|Telephone consultation hour of the general practitioner
Huisbezoek|Home visit from the general practitioner
Tolkencentrum|Translator center; assists people who need help speaking Dutch at formal appointments with a GP or government institution
Beroepsgeheim|Professional secrecy; a doctor is not allowed to disclose your medical situation to anyone
Huisartsenpost|General practice center for outside standard office hours
Recept|Prescription (for medicines)
Apotheek|Pharmacy
Drogist|Drugstore
Zorgverzekering|Health insurance
Eigen bijdrage|Own contribution; a portion of medical costs you pay yourself (e.g. for certain medicines)
Controle|Check-up; routine visit even without complaints (e.g. dentist twice a year)
Tandarts|Dentist
Tandartsverzekering|Dental insurance (not included in basic insurance, separate optional policy)
Basisverzekering|Basic health insurance; mandatory for everyone living in the Netherlands
Verwijsbrief|Referral letter; from the GP to a specialist or hospital
Polikliniek|Polyclinic; specialized department in a hospital (e.g. cardiology, radiology)
Patiëntenpas|Patient card; created at the hospital reception on your first visit
Verzekeringsbewijs|Insurance certificate
Identiteitsbewijs|Identity document (ID card, passport, or driving licence)
Wachtkamer|Waiting room
Opname|Hospitalization; staying one or more days in hospital
Maatschappelijk werk|Social services; people with mental issues may be referred here by the GP
Geestelijke gezondheidszorg (GGZ)|Mental healthcare institution
Gemeentelijke gezondheidsdienst (GGD)|Municipal health service; for sexual health issues, no GP referral needed
Seksueel Overdraagbare Aandoening (SOA)|Sexually transmitted disease (STD)
Verzekeringsnummer|Insurance number
Spoedeisende hulp|Emergency room (ER); walk-in, no appointment needed
Verloskundige|Midwife
Kraamhulp|Maternity help; comes to your home for one week after birth
Consultatiebureau|Child health clinic; for children aged 0-4 years
Groeiboekje|Growth book; records a child's development from age 0-4
Thuiszorg|Home care
Mantelzorg|Informal home care provided by friends and family members
Verzorgingshuis/Verpleeghuis|Nursing home; for people who can no longer care for themselves
Gezondheidszorg|Health care
Premie|Premium; monthly payment for health insurance
Aanvullende verzekering|Additional insurance; optional, covers items not in basic package (e.g. physiotherapy, glasses)
Eigen risico|Own risk; first €385 of yearly medical costs you pay yourself
Formulier teruggave|Return form; online form used to claim money back from your health insurer
Declareren|To declare/claim; submitting expenses to your health insurer for reimbursement
Zorgtoeslag|Healthcare allowance; tax benefit for low-income earners to help pay insurance premiums
Gemeente|Municipality
Gemeentelijke Basisadministratie (GBA)|Municipal register; official record of all residents in a municipality
Rijbewijs|Driver's licence
Uittreksel Gemeentelijk Basisadministratie|Official document from municipal administration containing your name, address etc.
Vergunning|Licence/permit; required e.g. to cut down a tree or renovate your home
Verblijfsvergunning|Residence permit; required to live in the Netherlands
Tijdelijke verblijfsvergunning|Temporary residence permit (valid for 1, 3, or 5 years)
Bepaalde tijd|Determined/fixed period of time
Permanente verblijfsvergunning|Permanent residence permit; requires at least 5 years in the Netherlands
Onbepaalde tijd|Undetermined/open-ended period of time
Naturalisatie|Naturalisation; becoming a Dutch citizen, applied for via the gemeente
Identificatieplicht|Legal obligation to identify yourself; applies to everyone over 14 when asked by police
Openbare orde|Public order
Aangifte doen|To file a report with the police
Burgerservicenummer (BSN)|Personal social security number; used with all government institutions
DigiD|Digital identity code for handling government matters online; never share with others
Belastingkantoor|Tax office; local office that helps with tax issues and advice
Bezwaar|Objection; formal disagreement with a government decision ('in bezwaar gaan' = to object)
Kwijtschelding|Exemption of payment; tax waiver available for people with very low income
In termijnen betalen|Payment in instalments; option when you cannot pay all taxes at once
Toeslagen|Allowances; money back from belastingdienst for low-income earners (huur, zorg, kinderopvang)
Kinderopvangtoeslag|Childcare allowance; money back from belastingdienst for childcare costs
Anti-discriminatiebureau|Institution offering free help in cases of discrimination
Juridisch Loket|Free legal advice institution; can refer to a law firm for complex cases
Advocatenkantoor|Law firm; paid legal representation (reduced cost for low income)
Bankrekening|Bank account
Bankpas|Bank card
Automatisch betalen via een machtiging|Automatic payment through authorisation; a company withdraws payment directly from your account
Internetbankieren|Online banking
Autoverzekering|Car insurance; mandatory for all car owners in the Netherlands
Brandverzekering|Fire insurance; covers fire damage to your home
Reisverzekering|Travel insurance; covers damage or loss while travelling
Schade|Damage
112|Emergency phone number for police, fire, or ambulance
